Energy,Shell,MFP,MAC_Total,MAC_Incoherent,MAC_Coherent,MAC_Photoelectric,MAC_Pair_production,Inf_Flu_BUF,Fin_Flu_BUF,Inf_Exp_BUF,Fin_Exp_BUF,Inf_Eff_BUF,Fin_Eff_BUF
0.01,0,89.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,7.7869e+24,7.7501e+24,1.5854e+25,1.5776e+25,7.7869e+24,7.7501e+24
0.01,0,90.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,1.5366e+25,1.5292e+25,3.1283e+25,3.1126e+25,1.5366e+25,1.5292e+25
0.01,0,91.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,3.036e+25,3.0219e+25,6.1824e+25,6.151e+25,3.036e+25,3.0219e+25
0.01,0,92.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,5.9986e+25,5.9718e+25,1.2218e+26,1.2155e+26,5.9986e+25,5.9718e+25
0.01,0,93.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,1.1852e+26,1.1801e+26,2.4146e+26,2.4021e+26,1.1852e+26,1.1801e+26
0.01,0,94.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,2.3418e+26,2.3322e+26,4.7719999999999995e+26,4.7469e+26,2.3418e+26,2.3322e+26
0.01,0,95.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,4.6269e+26,4.6089e+26,9.4308e+26,9.3806e+26,4.6269e+26,4.6089e+26
0.01,0,96.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,9.1448e+26,9.1086e+26,1.8634e+27,1.8539e+27,9.1448e+26,9.1086e+26
0.01,0,97.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,1.8074e+27,1.8001999999999998e+27,3.6817e+27,3.6638e+27,1.8074e+27,1.8001999999999998e+27
0.01,0,98.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,3.5722e+27,3.5577e+27,7.2745e+27,7.240799999999999e+27,3.5722e+27,3.5577e+27
0.01,0,99.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,7.0603e+27,7.0313e+27,1.4373e+28,1.431e+28,7.0603e+27,7.0313e+27
0.01,0,100.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,1.3954e+28,1.3896e+28,2.8399e+28,2.8281e+28,1.3954e+28,1.3896e+28
0.01,0,74.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.1159e+25,1.1108e+25,1.4529e+25,1.4461e+25,1.1159e+25,1.1108e+25
0.01,0,75.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,2.5193e+25,2.5072e+25,3.2761e+25,3.2601e+25,2.5193e+25,2.5072e+25
0.01,0,76.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,5.7e+25,5.6708e+25,7.4063e+25,7.3677e+25,5.7e+25,5.6708e+25
0.01,0,77.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.2897e+26,1.2826e+26,1.6743e+26,1.6651e+26,1.2897e+26,1.2826e+26
0.01,0,78.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,2.9179e+26,2.901e+26,3.7852e+26,3.763e+26,2.9179e+26,2.901e+26
0.01,0,79.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,6.6019e+26,6.5613e+26,8.5571e+26,8.5042e+26,6.6019e+26,6.5613e+26
0.01,0,80.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.4936999999999998e+27,1.484e+27,1.9345e+27,1.9219e+27,1.4936999999999998e+27,1.484e+27
0.01,0,81.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,3.3773e+27,3.3575e+27,4.3703e+27,4.3445e+27,3.3773e+27,3.3575e+27
0.01,0,82.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,7.636299999999999e+27,7.596299999999999e+27,9.873e+27,9.821e+27,7.636299999999999e+27,7.596299999999999e+27
0.01,0,83.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.7266e+28,1.7186e+28,2.2304e+28,2.2201e+28,1.7266e+28,1.7186e+28
0.01,0,84.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,3.9039e+28,3.8883e+28,5.0388e+28,5.0185e+28,3.9039e+28,3.8883e+28
0.01,0,85.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,8.827000000000001e+28,8.7971e+28,1.1383e+29,1.1344e+29,8.827000000000001e+28,8.7971e+28
0.01,0,86.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.9979e+29,1.9908e+29,2.5748e+29,2.5656000000000003e+29,1.9979e+29,1.9908e+29
0.01,0,87.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,4.521900000000001e+29,4.5051e+29,5.824100000000001e+29,5.8023e+29,4.521900000000001e+29,4.5051e+29
0.01,0,88.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.0235e+30,1.0195e+30,1.3174e+30,1.3122000000000002e+30,1.0235e+30,1.0195e+30
0.01,0,89.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,2.3165e+30,2.3071e+30,2.9798000000000004e+30,2.9677000000000004e+30,2.3165e+30,2.3071e+30
0.01,0,90.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,5.243e+30,5.221e+30,6.74e+30,6.7116e+30,5.243e+30,5.221e+30
0.01,0,91.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.1879e+31,1.1829e+31,1.5271e+31,1.5206e+31,1.1879e+31,1.1829e+31
0.01,0,92.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,2.6915e+31,2.6799e+31,3.46e+31,3.4451e+31,2.6915e+31,2.6799e+31
0.01,0,93.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,6.0982e+31,6.0717e+31,7.8395e+31,7.8052e+31,6.0982e+31,6.0717e+31
0.01,0,94.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.3817e+32,1.3756e+32,1.7761999999999998e+32,1.7684e+32,1.3817e+32,1.3756e+32
0.01,0,95.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,3.1305e+32,3.1166e+32,4.0244e+32,4.0065e+32,3.1305e+32,3.1166e+32
0.01,0,96.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,7.0947e+32,7.0626e+32,9.1132e+32,9.0717e+32,7.0947e+32,7.0626e+32
0.01,0,97.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.6079e+33,1.6005e+33,2.0636e+33,2.0541e+33,1.6079e+33,1.6005e+33
0.01,0,98.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,3.644e+33,3.6269e+33,4.673e+33,4.6509e+33,3.644e+33,3.6269e+33
0.01,0,99.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,8.258499999999999e+33,8.218999999999999e+33,1.0582e+34,1.0531e+34,8.258499999999999e+33,8.218999999999999e+33
0.01,0,100.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.8716e+34,1.8625e+34,2.3962000000000003e+34,2.3845e+34,1.8716e+34,1.8625e+34
0.02,1,72.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,1.7254e+25,1.7105e+25,2.0219e+25,1.9807e+25,1.6044e+25,1.5909e+25
0.02,1,73.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,3.9674e+25,3.9305e+25,4.6277e+25,4.5322e+25,3.6907e+25,3.657e+25
0.02,1,74.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,9.1227e+25,9.0313e+25,1.0592e+26,1.0371e+26,8.4898e+25,8.4062e+25
0.02,1,75.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,2.0977e+26,2.0752e+26,2.4242e+26,2.3729999999999997e+26,1.9529e+26,1.9323e+26
0.02,1,76.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,4.8374e+26,4.7892e+26,5.6247e+26,5.5083e+26,4.5046e+26,4.4605e+26
0.02,1,77.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,1.1155e+27,1.1053e+27,1.3050999999999998e+27,1.2786e+27,1.039e+27,1.0296e+27
0.02,1,78.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,2.5725e+27,2.5508e+27,3.028e+27,2.9679e+27,2.3967e+27,2.3768e+27
0.02,1,79.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,5.9324e+27,5.8868e+27,7.025699999999999e+27,6.8892e+27,5.528199999999999e+27,5.4866e+27
0.02,1,80.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,1.3681e+28,1.3586e+28,1.6301e+28,1.5991e+28,1.2751e+28,1.2665e+28
0.02,1,81.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,3.149e+28,3.1271e+28,3.7337e+28,3.6545e+28,2.9358e+28,2.9159e+28
0.02,1,82.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,7.2482e+28,7.1979e+28,8.5516e+28,8.3517e+28,6.7591e+28,6.7135e+28
0.02,1,83.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,1.6684e+29,1.6568e+29,1.9587e+29,1.9086e+29,1.5562e+29,1.5457000000000002e+29
0.02,1,84.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,3.8402e+29,3.8135000000000006e+29,4.4862e+29,4.361800000000001e+29,3.5828e+29,3.558700000000001e+29
0.02,1,85.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,8.8394e+29,8.777900000000001e+29,1.0275e+30,9.9681e+29,8.248600000000001e+29,8.1933e+29
0.02,1,86.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,2.0483e+30,2.0329e+30,2.3635e+30,2.3023e+30,1.9118e+30,1.8978e+30
0.02,1,87.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,4.7462e+30,4.707900000000001e+30,5.4364e+30,5.3174e+30,4.4309e+30,4.3958e+30
0.02,1,88.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,1.0998e+31,1.0903e+31,1.2505e+31,1.2281e+31,1.027e+31,1.0182e+31
0.02,1,89.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,2.5485e+31,2.5249999999999998e+31,2.8763e+31,2.8365e+31,2.3802e+31,2.3584e+31
0.02,1,90.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,5.9053e+31,5.8477e+31,6.6158e+31,6.5513e+31,5.5165e+31,5.4627e+31
0.02,1,91.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,1.3632e+32,1.3501e+32,1.5383e+32,1.5147e+32,1.2735e+32,1.2614e+32
0.02,1,92.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,3.1467e+32,3.1171e+32,3.5769e+32,3.5023e+32,2.9398e+32,2.9125e+32
0.02,1,93.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,7.263899999999999e+32,7.1968e+32,8.3169e+32,8.0979e+32,6.786499999999999e+32,6.7251e+32
0.02,1,94.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,1.6768e+33,1.6616e+33,1.9339e+33,1.8723e+33,1.5667e+33,1.5528e+33
0.02,1,95.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,3.8707e+33,3.8363e+33,4.4966e+33,4.3291e+33,3.6166e+33,3.5856e+33
0.02,1,96.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,8.9427e+33,8.869299999999999e+33,1.0404e+34,1.0049e+34,8.355999999999999e+33,8.289799999999999e+33
0.02,1,97.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,2.0661e+34,2.0506e+34,2.4073e+34,2.3328e+34,1.9306e+34,1.9166e+34
0.02,1,98.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,4.7733e+34,4.7408000000000005e+34,5.57e+34,5.4152e+34,4.4605e+34,4.4312e+34
0.02,1,99.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,1.1028e+35,1.0961e+35,1.2888e+35,1.2570000000000001e+35,1.0306e+35,1.0245e+35
0.02,1,100.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,2.5479e+35,2.5341e+35,2.982e+35,2.918e+35,2.3811e+35,2.3686e+35
0.019965,1,72.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,1.8133e+25,1.8002e+25,1.9858e+25,1.9153e+25,1.7671e+25,1.755e+25
0.019965,1,73.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,4.1764e+25,4.1469e+25,4.5671e+25,4.419e+25,4.0713e+25,4.0442e+25
0.019965,1,74.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,9.6188e+25,9.5528e+25,1.0504e+26,1.0196e+26,9.3803e+25,9.3191e+25
0.019965,1,75.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,2.2153e+26,2.2006e+26,2.4157e+26,2.3524e+26,2.1612e+26,2.1474e+26
0.019965,1,76.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,5.1079999999999994e+26,5.0707e+26,5.5942e+26,5.4315e+26,4.9841e+26,4.9494e+26
0.019965,1,77.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,1.1778e+27,1.1684e+27,1.2955e+27,1.2541e+27,1.1494e+27,1.1407e+27
0.019965,1,78.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,2.7155999999999995e+27,2.6924e+27,3.0002e+27,2.8957e+27,2.6507e+27,2.6291999999999995e+27
0.019965,1,79.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,6.2615e+27,6.2042e+27,6.947799999999999e+27,6.686e+27,6.113099999999999e+27,6.059799999999999e+27
0.019965,1,80.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,1.4437e+28,1.4296e+28,1.609e+28,1.5438e+28,1.4098e+28,1.3967e+28
0.019965,1,81.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,3.3274e+28,3.2975e+28,3.6930000000000005e+28,3.5562e+28,3.2499e+28,3.2222e+28
0.019965,1,82.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,7.6689e+28,7.606000000000001e+28,8.4765e+28,8.191999999999999e+28,7.492099999999999e+28,7.4337e+28
0.019965,1,83.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,1.7675000000000002e+29,1.7544000000000003e+29,1.9456e+29,1.8871000000000003e+29,1.7272000000000003e+29,1.7150000000000003e+29
0.019965,1,84.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,4.0736000000000005e+29,4.0466e+29,4.4657e+29,4.347200000000001e+29,3.9816e+29,3.9566e+29
0.019965,1,85.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,9.3886e+29,9.3339e+29,1.025e+30,1.0014e+30,9.1788e+29,9.1281e+29
0.019965,1,86.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,2.1679e+30,2.154e+30,2.3542e+30,2.304e+30,2.1198e+30,2.1069e+30
0.019965,1,87.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,5.006e+30,4.971e+30,5.4069e+30,5.3008e+30,4.895600000000001e+30,4.863e+30
0.019965,1,88.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,1.1559e+31,1.1472e+31,1.2418e+31,1.2196e+31,1.1306e+31,1.1224e+31
0.019965,1,89.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,2.6692e+31,2.6474e+31,2.8521e+31,2.8059e+31,2.6111e+31,2.5907e+31
0.019965,1,90.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,6.1635e+31,6.1096e+31,6.5505e+31,6.4556e+31,6.0302e+31,5.9797e+31
0.019965,1,91.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,1.4213e+32,1.4094e+32,1.5155e+32,1.4881e+32,1.3907e+32,1.3796e+32
0.019965,1,92.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,3.2774e+32,3.2514e+32,3.5064e+32,3.4303e+32,3.2073e+32,3.1831e+32
0.019965,1,93.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,7.5575e+32,7.5007e+32,8.1124e+32,7.907199999999999e+32,7.3969e+32,7.344099999999999e+32
0.019965,1,94.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,1.7427e+33,1.7302999999999998e+33,1.8769e+33,1.8227e+33,1.7059e+33,1.6943999999999995e+33
0.019965,1,95.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,4.0187e+33,3.9917e+33,4.3424e+33,4.2016e+33,3.9342e+33,3.9094e+33
0.019965,1,96.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,9.2764e+33,9.2198e+33,9.9477e+33,9.6809e+33,9.0828e+33,9.0306e+33
0.019965,1,97.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,2.1413e+34,2.1295e+34,2.2788e+34,2.2306e+34,2.0969e+34,2.086e+34
0.019965,1,98.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,4.9429e+34,4.9186e+34,5.2204e+34,5.1395e+34,4.841e+34,4.8186e+34
0.019965,1,99.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,1.141e+35,1.1361e+35,1.1959e+35,1.1842e+35,1.1176e+35,1.1131e+35
0.019965,1,100.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,2.6338e+35,2.624e+35,2.7395e+35,2.7286e+35,2.5802e+35,2.5712e+35
0.03,1,74.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.8671e+25,1.8444e+25,2.2336e+25,2.0742e+25,1.7912e+25,1.7716e+25
0.03,1,75.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,4.1962e+25,4.1437e+25,5.0532e+25,4.6535e+25,4.0262e+25,3.9808e+25
0.03,1,76.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,9.4305e+25,9.3143e+25,1.1372e+26,1.0535e+26,9.0488e+25,8.9482e+25
0.03,1,77.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,2.1194e+26,2.0937e+26,2.5589999999999997e+26,2.3849e+26,2.0337e+26,2.0114e+26
0.03,1,78.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,4.7629999999999996e+26,4.7063e+26,5.7586e+26,5.399e+26,4.5708e+26,4.5214e+26
0.03,1,79.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.0704e+27,1.0579e+27,1.2958999999999998e+27,1.2221999999999998e+27,1.0273e+27,1.0163e+27
0.03,1,80.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,2.4056e+27,2.378e+27,2.9162e+27,2.7669e+27,2.3088e+27,2.2846e+27
0.03,1,81.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,5.4105e+27,5.3494e+27,6.5235e+27,6.215299999999999e+27,5.194e+27,5.140000000000001e+27
0.03,1,82.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.2169e+28,1.2034e+28,1.4593e+28,1.3961e+28,1.1685e+28,1.1564e+28
0.03,1,83.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,2.7369e+28,2.7071e+28,3.2645e+28,3.1360000000000003e+28,2.6286e+28,2.6018e+28
0.03,1,84.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,6.1557e+28,6.0898e+28,7.3027e+28,7.0444e+28,5.9133e+28,5.8538e+28
0.03,1,85.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.3845e+29,1.3699000000000002e+29,1.6336e+29,1.5824e+29,1.3303e+29,1.317e+29
0.03,1,86.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,3.1217000000000004e+29,3.0895000000000003e+29,3.6647000000000005e+29,3.5509e+29,2.9996000000000003e+29,2.9704e+29
